nation,instrument,description,hsnumber,link ,broadtype,minottype,specifictype
Afghanistan,Rubab,"Short-necked three-stringed lute with sympathetic and drone strings, fretted and plucked with a plectrum, with a double-chambered body, the lower part of which is covered in skin, and with three main strings",321,https://en.wikipedia.org/wiki/Rubab_(instrument),Chordophone,Composite chordophone,Lute
Albania,Lahuta,,321,https://en.wikipedia.org/wiki/Gusle,Chordophone,Composite chordophone,Lute
Argentina,Bandoneón,"Button accordion with a box shape, played with both hands using buttons that produce two sets of notes per hand",412,https://en.wikipedia.org/wiki/Bandone%C3%B3n,Aerophone,Free aerophone,Interruptive free aerophone
Armenia,"Duduk/Daduk","Double-reed pipe with wide reeds made from pieces of cane in a duckbill-type assembly, generally diatonic and with a single octave range",421,https://en.wikipedia.org/wiki/Duduk,Aerophone,Non-free aerophones (wind instruments proper) ,Edge-blown aerophones or flute
Australia,"Didgeridoo
","Straight trumpet without fingerholes, traditionally made from a trunk or thick branch of a tree, sometimes with a rim of beeswax around the blowing end, requires circular breathing",423,https://en.wikipedia.org/wiki/Didgeridoo,Aerophone,Non-free aerophones (wind instruments proper) ,Trumpet
Austria,Bock,"Use of goatskins in constructing the bag, similar to the common use of other goat-terms for bagpipes in other nations",422,https://en.wikipedia.org/wiki/Bock_(bagpipe),Aerophone,Non-free aerophones (wind instruments proper) ,Reed aerophone
Azerbaijan,Balaban,"Set of cylindrical shawm-like instruments, with an air reservoir like a bagpipe",422,https://en.wikipedia.org/wiki/Balaban_(instrument),Aerophone,Non-free aerophones (wind instruments proper) ,Reed aerophone
Bangladesh,Dotara,"Small stringed instrument, with plucked metal strings, elongated belly as soundboard and narrow neck ending in a pegbox, decorated with carvings of animals and covered with skin",321,https://en.wikipedia.org/wiki/Dotara,Chordophone,Composite chordophone,Lute
Bhutan,"Dranyen
","Seven-stringed lute, fretless, long-necked and double-waisted with rosette-shaped sound hole",321,https://en.wikipedia.org/wiki/Dranyen,Chordophone,Composite chordophone,Lute
Bolivia,"Charango
","Fretted, hollow-bodied bowl lute, usually with four or five doubled strings, with as many as eleven tunings, traditionally made from an armadillo shell",321,https://en.wikipedia.org/wiki/Charango,Chordophone,Composite chordophone,Lute
Brazil,Pandeiro,"Handheld frame drum with metal jingles (platinelas) attached, tuned through adjusting the tension of the head, can also be shaken or rasped",112,https://en.wikipedia.org/wiki/Pandeiro,Idiophone,Struck idiophone,Indirectly struck idiophone
Bulgaria,Gaida,"Bagpipe with three types of chanters, one a simple reed, open at one end, another a small, conical tube with eight fingerholes, one of which is the flea-hole (a small hole made out of a tube that can raise any note a half-step), and the last is a long, no-holed drone",422,https://en.wikipedia.org/wiki/Gaida,Aerophone,Non-free aerophones (wind instruments proper) ,Reed aerophone
China,Pipa,"Pear-shaped bowl lute with a neck, played by plucking",321,https://en.wikipedia.org/wiki/Pipa,Chordophone,Composite chordophone,Lute
Colombia,Cuatro,Fretted stringed instrument with a hollow body and with four strings,321,https://en.wikipedia.org/wiki/Cuatro_(instrument),Chordophone,Composite chordophone,Lute
Costa Rica,Marimba,"Xylophone-like instrument with gourd resonators, two sets of overlapping keys, struck with mallets",111,https://en.wikipedia.org/wiki/Marimba,Idiophone,Struck idiophone,Directly struck idiophone
Crete,Lyra,"Three-stringed fretted, pear-shaped instrument with a hollow body and a vaulted back, propped up on the knee",321,https://en.wikipedia.org/wiki/Cretan_lyra,Chordophone,Composite chordophone,Lute
Croatia,Tamburica,"Lute-like stringed instrument with a long neck, picked or strummed, variable number of strings",321,https://en.wikipedia.org/wiki/Tamburica,Chordophone,Composite chordophone,Lute
Cuba,Tres,Guitar-like instrument with a neck and three courses of two strings each,321,https://en.wikipedia.org/wiki/Tres_(musical_instrument),Chordophone,Composite chordophone,Lute
Ecuador,Rondador,"Set of chorded bamboo panpipes that produces two tones simultaneously, consisting of pieces of cane, placed side by side in order by size and closed at one end, played by blowing across the top of the instrument",421,https://en.wikipedia.org/wiki/Rondador,Aerophone,Non-free aerophones (wind instruments proper) ,Edge-blown aerophones or flute
Egypt,Harp,"Open harp, used in widely varying forms, though originally semi-circular and with five to seven strings, number of strings increased over time, while the size decreased",322,https://en.wikipedia.org/wiki/Harp,Chordophone,Composite chordophone,Harp
England,English Concertina,"A small free reed instrument, usually hexagonal in shape. The instrument is played by moving bellows between the hands to blow air over reeds, each note being sounded by a button.",412,https://en.wikipedia.org/wiki/English_concertina,Aerophone,Free aerophone,Interruptive free aerophone
Estonia,Talharpa,Bowed lyre with no fingerboard,321,https://en.wikipedia.org/wiki/Talharpa,Chordophone,Composite chordophone,Lute
Etruria,Kithara,"Stringed instrument with a deep soundbox made of two tables, connected by ribs, with strings attached to a tuning bar, played with a plectrum",321,https://en.wikipedia.org/wiki/Kithara,Chordophone,Composite chordophone,Lute
Finland,Kantele,"Zither–harp, traditionally with five strings, now with up to thirty, held in the lap",314,https://en.wikipedia.org/wiki/Kantele,Chordophone,Simple chordophones or zither,Board zither
Fula,Tambin,"Diagonal diatonic flute without a bell, made from a conical vine, with three finger-holes and a rectangular embouchere with two wings on either side",411,https://en.wikipedia.org/wiki/Tambin,Aerophone,Free aerophone,Displacement free aerophone
Germany,"Waldzither
","Cittern with nine steel strings; tuned C, G G, C C, E E, G G; famous for allegedly been played by Martin Luther at the Wartburg",321,https://en.wikipedia.org/wiki/Waldzither,Chordophone,Composite chordophone,Lute
Ghana,Gyil,"Xylophone-like calabash gourd with holes covered in spider silk, wooden frame, struck with a hammer",111,https://en.wikipedia.org/wiki/Gyil,Idiophone,Struck idiophone,Directly struck idiophone
Greece,Bouzouki,"String instrument with a pear-shaped body and a long neck, played with plectrum",321,https://en.wikipedia.org/wiki/Bouzouki,Chordophone,Composite chordophone,Lute
Guatemala,Marimba,"Xylophone-like instrument with gourd resonators, struck with mallets, with a two level keyboard so it can play the full chromatic scale",111,https://en.wikipedia.org/wiki/Marimba,Idiophone,Struck idiophone,Directly struck idiophone
Hawaii,Ukulele,"String instrument derived from the Portuguese braguinha, from the Hawaiian uku lele, jumping flea, referring to the swift fingerwork the instrument requires
chords on a ukulele (help·info)",321,https://en.wikipedia.org/wiki/Ukulele,Chordophone,Composite chordophone,Lute
Hungary,"Cimbalom
",Chromatic hammered dulcimer with four legs,314,https://en.wikipedia.org/wiki/Cimbalom,Chordophone,Simple chordophones or zither,Board zither
India,"Saraswati Veena
","Semitonically fretted lute with a long, cylindrical shape, resting on two gourds",311,https://en.wikipedia.org/wiki/Saraswati_veena,Chordophone,Simple chordophones or zither,Bar zither
Indonesia,Angklung,"Two bamboo tubes, closed at one end and with tongues, attached to a square frame, played by shaking from side to side, causing the tongues to vibrate",112,https://en.wikipedia.org/wiki/Angklung,Idiophone,Struck idiophone,Indirectly struck idiophone
Iran,Tar,"The musical instrument, which has 6 wires and is the main instrument in traditional Iranian music, is produced by Mazzrab.",314,https://en.wikipedia.org/wiki/Tar_(string_instrument),Chordophone,Simple chordophones or zither,Board zither
Iraq,Oud,"Pear-shaped fretless stringed instrument, with five courses of two strings and a single eleventh string, a bent back and a bowl-shaped body, often with up to three soundholes, played with a pick",321,https://en.wikipedia.org/wiki/Oud,Chordophone,Composite chordophone,Lute
Ireland,Cláirseach,Polychord wire-strung harp with a fore-pillar,322,https://en.wikipedia.org/wiki/Irish_Harp,Chordophone,Composite chordophone,Harp
Israel,"Kinnor
","Biblically described historic instrument, probably a cithara; in modern Hebrew, refers to the violin",321,https://en.wikipedia.org/wiki/Kinnor,Chordophone,Composite chordophone,Lute
Italy,Mandolin,"Stringed instrument
Mandolin performance (help·info)",321,https://en.wikipedia.org/wiki/Mandolin,Chordophone,Composite chordophone,Lute
Jamaica,Abeng,"Aerophone made from the end of a cow horn with the tip broken off on the side, which is blown into",423,https://en.wikipedia.org/wiki/Abeng,Aerophone,Non-free aerophones (wind instruments proper) ,Trumpet
Japan,Koto,Long and hollow thirteen-stringed instrument,312,https://en.wikipedia.org/wiki/Koto_(musical_instrument),Chordophone,Simple chordophones or zither,Tube zither
